slug,decision,clinician_id,previous_clinician_id,rule_key,match_reasons,notes,locked
how-do-i-deal-with-feeling-like-my-life-has-177941-025,approve,samantha-bryant,samantha-bryant,exact_topic:meaning-faith-and-existential-questions<<Spirituality,alias_keyword:Depression|exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85),,true
how-do-i-talk-to-my-children-about-death-without-an-afterlife,approve,samantha-bryant,samantha-bryant,exact_topic:meaning-faith-and-existential-questions<<Spirituality,alias_keyword:Grief|exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85),,true
is-it-normal-to-feel-nauseous-when-im-re-181083-004,approve,samantha-bryant,samantha-bryant,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),,true
why-work-stress-makes-me-irritable-at-home,approve,samantha-bryant,samantha-bryant,exact_topic:work-and-burnout<<Career Counseling,alias_keyword:stress|exact_topic:work-and-burnout via Career Counseling (w=1)|alt_topic:work-and-burnout via Life Transitions (w=0.45)|alt_topic:work-and-burnout via School Issues (w=0.4)|preferred_specialty_keyword:stress,,true
can-trauma-affect-grief,approve,sarah-evers,sarah-evers,exact_topic:trauma-and-safety<<Developmental Wounds & Complex Trauma,exact_topic:trauma-and-safety via Developmental Wounds & Complex Trauma (w=1),,true
what-if-my-partner-is-attached-to-an-ai-companion,approve,sarah-evers,sarah-evers,exact_topic:relationships-and-communication<<Building Healthy Relationships,exact_topic:relationships-and-communication via Building Healthy Relationships (w=1),,true
why-does-grief-come-in-waves,approve,sarah-evers,sarah-evers,exact_topic:grief-and-loss<<Grief & Loss,parent_theme:life-transitions-and-change via Chronic Illness & Disability|parent_theme:life-transitions-and-change via Life Events & Transitions|exact_topic:grief-and-loss via Grief & Loss (w=1),,true
can-ai-make-impostor-syndrome-worse,approve,susan-keenan,susan-keenan,exact_topic:identity-and-self-worth<<Self Esteem,exact_topic:identity-and-self-worth via Self Esteem (w=1),,true
how-do-i-deal-with-spiritual-bypassing-in-my-f8g3h6,approve,susan-keenan,susan-keenan,exact_topic:meaning-faith-and-existential-questions<<Spirituality,exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85),,true
how-do-i-stop-obsessing-over-health-symptoms,approve,susan-keenan,susan-keenan,exact_topic:anxiety-and-stress<<Depression,exact_topic:anxiety-and-stress via Depression (w=0.35)|parent_theme:anxiety-and-mood via Depression|exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety,,true
how-do-i-stop-worrying-about-things-i-cant-c-177941-027,approve,susan-keenan,susan-keenan,exact_topic:anxiety-and-stress<<Depression,exact_topic:anxiety-and-stress via Depression (w=0.35)|parent_theme:anxiety-and-mood via Depression|exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety,,true
is-it-normal-to-have-existential-thought-181083-046,approve,susan-keenan,susan-keenan,exact_topic:meaning-faith-and-existential-questions<<Spirituality,exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85),,true
what-if-i-dont-believe-in-god-or-a-higher-power-for-12-step-programs,approve,susan-keenan,susan-keenan,exact_topic:meaning-faith-and-existential-questions<<Spirituality,alias_keyword:recovery|exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85),,true
why-is-it-so-hard-to-make-friends-as-an-181083-067,approve,susan-keenan,susan-keenan,exact_topic:relationships-and-communication<<Relationship Issues,parent_theme:relationships-and-connection via LGBTQ+|exact_topic:relationships-and-communication via Relationship Issues (w=1),,true
