answer_title,answer_slug,answer_url,answer_id,proposed_clinician_id,proposed_clinician_name,clinician_credentials,clinician_professional_title,verified_specialties,matched_specialty,deeper_topic,deeper_topic_name,deeper_category,deeper_theme,exact_match_reason,assignment_score,confidence,confidence_threshold_margin,match_type,other_eligible_clinicians,why_selected_won,reviewer_share_before_pct,reviewer_share_after_pct,sample_inclusion_reasons,ymyl_flag,human_qa_decision,human_qa_replacement_clinician_id,human_qa_notes
Coping With Academic Pressure and Fear of Failure,how-do-i-deal-with-academic-pressure-and-184729-009,https://www.deeper.global/answers/how-do-i-deal-with-academic-pressure-and-184729-009/,3965a5a8-22cd-4c22-8e5b-53fc22c283bd,jeannine-jannot,"Jeannine Jannot, Ph.D.",Ph.D.,"Student, Parent, & Productivity Coach",School Issues|Parenting|Life Coaching|ADHD|Anxiety|Child|Coping Skills|Education and Learning Disabilities|Executive Functioning|Peer Relationships|Productivity Coaching|Self Esteem|Stress,Stress,teens-and-identity,Teens & Identity,Teens & Identity,family-and-parenting,exact_topic:teens-and-identity via School Issues (w=0.45)|exact_topic:teens-and-identity via Parenting (w=0.7)|alias_keyword:panic|alt_topic:teens-and-identity via Child (w=0.7)|alt_topic:teens-and-identity via Education and Learning Disabilities (w=0.45)|alt_topic:teens-and-identity via Executive Functioning (w=0.45)|alt_topic:teens-and-identity via Productivity Coaching (w=0.45)|alias_keyword:panic,86,high,6.00,exact_topic_plus_alias,lauren-sanders(topic_volume:1)|meredith-price(topic_volume:1)|kelsey-donahue(topic_volume:1),score=86; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,1.69,every_clinician_lowest|alias_match,no,approve,,
Dealing With Toxic Family Members,how-do-i-deal-with-toxic-family-members-177941-009,https://www.deeper.global/answers/how-do-i-deal-with-toxic-family-members-177941-009/,7cd58ae6-5965-460b-9d6f-777dffeedb0b,jeannine-jannot,"Jeannine Jannot, Ph.D.",Ph.D.,"Student, Parent, & Productivity Coach",School Issues|Parenting|Life Coaching|ADHD|Anxiety|Child|Coping Skills|Education and Learning Disabilities|Executive Functioning|Peer Relationships|Productivity Coaching|Self Esteem|Stress,Child,family-and-parenting,Family & Parenting,Family Relationships,family-and-parenting,exact_topic:family-and-parenting via Parenting (w=1)|exact_topic:family-and-parenting via Child (w=1),100,high,20.00,exact_topic,susan-keenan(topic_volume:16)|kelsey-donahue(topic_volume:13)|meredith-price(topic_volume:9),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,1.69,every_clinician_mid,no,approve,,
Unpaid Child Support,what-should-i-do-if-my-ex-spouse-isnt-paying-child-support,https://www.deeper.global/answers/what-should-i-do-if-my-ex-spouse-isnt-paying-child-support/,2b624c4a-de17-4e92-b433-c44fa0668371,jeannine-jannot,"Jeannine Jannot, Ph.D.",Ph.D.,"Student, Parent, & Productivity Coach",School Issues|Parenting|Life Coaching|ADHD|Anxiety|Child|Coping Skills|Education and Learning Disabilities|Executive Functioning|Peer Relationships|Productivity Coaching|Self Esteem|Stress,Child,family-and-parenting,Family & Parenting,Family & Parenting,family-and-parenting,exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting|exact_topic:family-and-parenting via Child (w=1),100,high,20.00,exact_topic_plus_alias,susan-keenan(topic_volume:16)|kelsey-donahue(topic_volume:13)|meredith-price(topic_volume:9),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,1.69,every_clinician_highest,no,approve,,
Can AI Make Avoidance Easier When I Am Anxious?,can-ai-make-avoidance-easier-when-anxious,https://www.deeper.global/answers/can-ai-make-avoidance-easier-when-anxious/,a7393d17-166d-4e0d-932f-fe24bdc8fc9e,kelsey-donahue,Kelsey Madsen (Donahue),LPC,Licensed Professional Counselor,Anxiety|Depression|Eating Disorders|ADHD|Adoption|Anger Management|Behavioral Issues|Child|Developmental Disorders|Family Conflict|Oppositional Defiance (ODD)|Parenting|School Issues|Self Esteem|Stress|Suicidal Ideation|Disordered Eating,Stress,anxiety-and-stress,Anxiety & Stress,Anxiety & Stress,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),100,high,20.00,exact_topic_plus_alias,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|amanda-gaines(topic_volume:14)|lynn-lane(topic_volume:13)|liz-webb(topic_volume:12),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,3.65,alias_match|theme_anxiety-and-mood,no,approve,,
How Parents Can Support a Child Who Worries a Lot,how-can-parents-support-a-child-who-worries-a-lot,https://www.deeper.global/answers/how-can-parents-support-a-child-who-worries-a-lot/,7b33fbaa-3b6e-4eb7-a2a4-c1aa57749a03,kelsey-donahue,Kelsey Madsen (Donahue),LPC,Licensed Professional Counselor,Anxiety|Depression|Eating Disorders|ADHD|Adoption|Anger Management|Behavioral Issues|Child|Developmental Disorders|Family Conflict|Oppositional Defiance (ODD)|Parenting|School Issues|Self Esteem|Stress|Suicidal Ideation|Disordered Eating,Parenting,family-and-parenting,Family & Parenting,Family & Parenting,family-and-parenting,alias_keyword:Anxiety|exact_topic:family-and-parenting via Child (w=1)|exact_topic:family-and-parenting via Family Conflict (w=1)|exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting,100,high,20.00,exact_topic_plus_alias,susan-keenan(topic_volume:16)|jeannine-jannot(topic_volume:11)|meredith-price(topic_volume:9),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,3.65,alias_match|theme_family-and-parenting,no,approve,,
How Long Do You Take Psychiatric Medication?,how-long-do-i-have-to-take-psychiatric-m-181083-057,https://www.deeper.global/answers/how-long-do-i-have-to-take-psychiatric-m-181083-057/,6088fe2a-0f14-4943-9d1f-3695a8411df3,kelsey-donahue,Kelsey Madsen (Donahue),LPC,Licensed Professional Counselor,Anxiety|Depression|Eating Disorders|ADHD|Adoption|Anger Management|Behavioral Issues|Child|Developmental Disorders|Family Conflict|Oppositional Defiance (ODD)|Parenting|School Issues|Self Esteem|Stress|Suicidal Ideation|Disordered Eating,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,alex-crenshaw-phd(topic_volume:18)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|laura-hilsen(topic_volume:10)|jackie-malone(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,3.65,every_clinician_mid,no,approve,,
Supporting a Gender-Questioning Child,what-do-i-do-if-i-think-my-child-is-questioning-th-187459-002,https://www.deeper.global/answers/what-do-i-do-if-i-think-my-child-is-questioning-th-187459-002/,b5acbdcc-5c64-415d-9942-6e7db5fb4a56,kelsey-donahue,Kelsey Madsen (Donahue),LPC,Licensed Professional Counselor,Anxiety|Depression|Eating Disorders|ADHD|Adoption|Anger Management|Behavioral Issues|Child|Developmental Disorders|Family Conflict|Oppositional Defiance (ODD)|Parenting|School Issues|Self Esteem|Stress|Suicidal Ideation|Disordered Eating,Parenting,teens-and-identity,Teens & Identity,Teen-Specific Questions,family-and-parenting,exact_topic:teens-and-identity via Child (w=0.7)|alias_keyword:child|alt_topic:teens-and-identity via Family Conflict (w=0.7)|alias_keyword:child|alt_topic:teens-and-identity via Parenting (w=0.7)|alias_keyword:child|alt_topic:teens-and-identity via School Issues (w=0.45),94,high,14.00,exact_topic_plus_alias,jeannine-jannot(topic_volume:7)|lauren-sanders(topic_volume:1)|meredith-price(topic_volume:1),score=94; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,3.65,every_clinician_lowest,no,approve,,
Why Depression Can Come Back After You Start Feeling Better,why-does-depression-come-back-after-feeling-better,https://www.deeper.global/answers/why-does-depression-come-back-after-feeling-better/,cdfc1817-7c3f-41fa-a742-8ea171c5c131,kelsey-donahue,Kelsey Madsen (Donahue),LPC,Licensed Professional Counselor,Anxiety|Depression|Eating Disorders|ADHD|Adoption|Anger Management|Behavioral Issues|Child|Developmental Disorders|Family Conflict|Oppositional Defiance (ODD)|Parenting|School Issues|Self Esteem|Stress|Suicidal Ideation|Disordered Eating,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|alias_keyword:panic|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,alex-crenshaw-phd(topic_volume:18)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|laura-hilsen(topic_volume:10)|jackie-malone(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,3.65,every_clinician_highest,no,approve,,
Are You Too Dependent on AI for Work Decisions?,am-i-becoming-too-dependent-on-ai-to-make-decision-189142-016,https://www.deeper.global/answers/am-i-becoming-too-dependent-on-ai-to-make-decision-189142-016/,77b03289-45c4-47bc-902a-c3d1fe4067c1,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Work/Life Balance,work-and-burnout,Work & Burnout,Work & Burnout,work-and-purpose,exact_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),100,high,20.00,exact_topic,michaela-hilburn(topic_volume:26)|samantha-bryant(topic_volume:23),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,9.36,theme_work-and-purpose|broad_generalist_topic_cluster,no,approve,,
Can AI Make Burnout Worse?,can-ai-make-burnout-worse,https://www.deeper.global/answers/can-ai-make-burnout-worse/,b2c43fd1-c291-4d41-8739-6dce9c3052fa,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Work/Life Balance,work-and-burnout,Work & Burnout,Work & Burnout,work-and-purpose,exact_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),100,high,20.00,exact_topic,michaela-hilburn(topic_volume:26)|samantha-bryant(topic_volume:23),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,9.36,theme_work-and-purpose,no,approve,,
Can AI Workplace Monitoring Affect Mental Health?,can-ai-workplace-monitoring-affect-mental-health,https://www.deeper.global/answers/can-ai-workplace-monitoring-affect-mental-health/,4bbe0a53-b2da-40a0-a057-d8c319ab9a65,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Work/Life Balance,work-and-burnout,Work & Burnout,Work & Burnout,work-and-purpose,alias_keyword:stress|alt_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),100,high,20.00,exact_topic_plus_alias,michaela-hilburn(topic_volume:26)|samantha-bryant(topic_volume:23),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,alias_match|theme_work-and-purpose,no,approve,,
Can Deepfakes Cause Trauma or Anxiety?,can-deepfakes-cause-trauma-or-anxiety,https://www.deeper.global/answers/can-deepfakes-cause-trauma-or-anxiety/,768cd868-0048-43cf-bf28-c380637276b6,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Trauma,trauma-and-safety,Trauma & Safety,Trauma & Grief,trauma-and-safety,alias_keyword:Anxiety|exact_topic:trauma-and-safety via PTSD (w=1)|exact_topic:trauma-and-safety via Trauma (w=1)|preferred_specialty_keyword:Trauma,100,high,20.00,exact_topic_plus_alias,susan-keenan(topic_volume:5)|lynn-lane(topic_volume:5)|samantha-bryant(topic_volume:5)|lexi-cooper(topic_volume:4)|michaela-hilburn(topic_volume:4),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,alias_match|ymyl_trauma|theme_trauma-and-safety,yes,approve,,
Who You Are Beyond Others' Expectations,figure-out-who-i-am-outside-other-peoples-expectations,https://www.deeper.global/answers/figure-out-who-i-am-outside-other-peoples-expectations/,25e0c627-c9da-425a-9334-e533b0c26e77,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Self-Esteem,identity-and-self-worth,Identity & Self-Worth,Identity & Self-Worth,identity-and-self-worth,exact_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self-Compassion (w=1)|exact_topic:identity-and-self-worth via Self-Esteem (w=1),100,high,20.00,exact_topic,michaela-hilburn(topic_volume:26)|meredith-price(topic_volume:25)|samantha-bryant(topic_volume:24)|jackie-malone(topic_volume:24)|sarah-evers(topic_volume:23),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,9.36,theme_identity-and-self-worth|broad_generalist_topic_cluster,no,approve,,
Asking for a Mental Health Day Without Guilt,how-do-i-ask-for-a-mental-health-day-wit-185759-041,https://www.deeper.global/answers/how-do-i-ask-for-a-mental-health-day-wit-185759-041/,f5b31a6a-5760-43a5-843a-736b669a0073,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Work/Life Balance,work-and-burnout,Work & Burnout,"Work, Stress & Burnout",work-and-purpose,alias_keyword:stress|alt_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),100,high,20.00,exact_topic_plus_alias,michaela-hilburn(topic_volume:26)|samantha-bryant(topic_volume:23),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,alias_match|theme_work-and-purpose,no,approve,,
Coping After Losing Someone to Suicide,how-do-i-cope-with-losing-someone-to-suicide,https://www.deeper.global/answers/how-do-i-cope-with-losing-someone-to-suicide/,859f488b-026f-48b8-88f7-3cd2b5fa770d,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Self-Esteem,general-mental-health,General Mental Health,General Mental Health,life-transitions-and-change,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Grief|alias_keyword:shame|alias_keyword:shame,94,high,14.00,exact_topic_plus_alias,jackie-malone(topic_volume:4)|michaela-hilburn(topic_volume:2),score=94; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,alias_match|theme_life-transitions-and-change,yes,approve,,
Coping With the Emotional Pain of Divorce,how-do-i-cope-with-the-emotional-pain-of-divorce,https://www.deeper.global/answers/how-do-i-cope-with-the-emotional-pain-of-divorce/,d9c9f923-2ee1-4f19-b710-e308cafdc100,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Divorce,work-and-burnout,Work & Burnout,Work & Life Balance,work-and-purpose,exact_topic:work-and-burnout via Life Transitions (w=0.45)|alias_keyword:Grief|exact_topic:work-and-burnout via Work/Life Balance (w=1)|preferred_specialty_keyword:divorce,100,high,20.00,exact_topic_plus_alias,michaela-hilburn(topic_volume:26)|samantha-bryant(topic_volume:23),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,alias_match|ymyl_chronic,no,approve,,
Depression During Pregnancy: What Can Help,how-do-i-deal-with-depression-during-pregnancy,https://www.deeper.global/answers/how-do-i-deal-with-depression-during-pregnancy/,ab1dd908-6925-4cf2-8fa3-72b7fdad7b7f,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression|alt_topic:depression via Mood Disorders (w=0.85),100,high,20.00,exact_topic_plus_alias,alex-crenshaw-phd(topic_volume:18)|kelsey-donahue(topic_volume:13)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|jackie-malone(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,alias_match|ymyl_postpartum,yes,approve,,
Handling Criticism Without Taking It Personally,how-do-i-handle-criticism-without-taking-177940-011,https://www.deeper.global/answers/how-do-i-handle-criticism-without-taking-177940-011/,33ae1ba4-c6bd-466d-805a-9ffed6b7b225,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Self-Esteem,general-mental-health,General Mental Health,Emotional Regulation,life-transitions-and-change,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:shame|alias_keyword:shame,86,high,6.00,exact_topic_plus_alias,jackie-malone(topic_volume:4)|michaela-hilburn(topic_volume:2),score=86; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,every_clinician_lowest|top10_lowest|share_gt_8pct|alias_match,no,approve,,
Identity After Retirement or Empty Nest,how-do-i-maintain-my-sense-of-identity-during-reti-187459-024,https://www.deeper.global/answers/how-do-i-maintain-my-sense-of-identity-during-reti-187459-024/,affb82cd-e3a5-4e24-83a9-a4b815df2f48,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Grief and Loss,general-mental-health,General Mental Health,Life Transitions,life-transitions-and-change,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Life Transitions|alias_keyword:loss,86,high,6.00,exact_topic_plus_alias,jackie-malone(topic_volume:4)|michaela-hilburn(topic_volume:2),score=86; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,share_gt_8pct,no,approve,,
Family Boundaries About Your Relationship,how-do-i-set-boundaries-with-my-own-family-about-my-relationship,https://www.deeper.global/answers/how-do-i-set-boundaries-with-my-own-family-about-my-relationship/,38ba4793-47c2-473c-b009-10e664d9f290,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Infidelity,relationships-and-communication,Relationships & Communication,Relationships & Communication,relationships-and-connection,exact_topic:relationships-and-communication via Relationship Issues (w=1)|exact_topic:relationships-and-communication via Divorce (w=1)|exact_topic:relationships-and-communication via Infidelity (w=1),100,high,20.00,exact_topic,samantha-bryant(topic_volume:25)|lexi-cooper(topic_volume:24)|lynn-lane(topic_volume:20)|alex-crenshaw-phd(topic_volume:18)|sarah-evers(topic_volume:17),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,9.36,every_clinician_mid,no,approve,,
Guilty About Exciting Changes,why-do-i-feel-guilty-for-being-excited-about-chang-187459-021,https://www.deeper.global/answers/why-do-i-feel-guilty-for-being-excited-about-chang-187459-021/,bf4ed0c5-91bf-4306-bb13-2cf0c3347ede,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Grief and Loss,general-mental-health,General Mental Health,Life Transitions,life-transitions-and-change,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Life Transitions|alias_keyword:loss,86,high,6.00,exact_topic_plus_alias,jackie-malone(topic_volume:4)|michaela-hilburn(topic_volume:2),score=86; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,9.36,top10_extra|share_gt_8pct,no,approve,,
Upset When Plans Change,why-do-i-get-so-upset-when-things-dont-go-accordin-187459-014,https://www.deeper.global/answers/why-do-i-get-so-upset-when-things-dont-go-accordin-187459-014/,2c1e1a1a-89dd-4a02-b730-50657d841272,laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,Anxiety,anxiety-and-stress,Anxiety & Stress,Perfectionism & Control Issues,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|alt_topic:anxiety-and-stress via Depression (w=0.35),100,high,20.00,exact_topic,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|amanda-gaines(topic_volume:14)|lynn-lane(topic_volume:13)|kelsey-donahue(topic_volume:12),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,9.36,every_clinician_highest,no,approve,,
Can AI Griefbots Complicate Grief?,can-ai-griefbots-make-grief-harder-to-process,https://www.deeper.global/answers/can-ai-griefbots-make-grief-harder-to-process/,33f3f8ee-06d8-4b1e-8646-aeb023173276,lauren-sanders,Lauren Sanders,"NCC, LPC",Licensed Professional Counselor,"Anxiety|Obsessive-Compulsive (OCD)|Parenting|ADHD|Behavioral Issues|Body Dysmorphic Disorder|Cancer|Child|Chronic Illness|Coping Skills|Grief|Life Transitions|Pregnancy, Prenatal, Postpartum|Women's Issues",Grief,grief-and-loss,Grief & Loss,Grief & Loss,life-transitions-and-change,parent_theme:life-transitions-and-change via Cancer|exact_topic:grief-and-loss via Grief (w=1)|preferred_specialty_keyword:Grief,100,high,20.00,exact_topic_plus_alias,samantha-bryant(topic_volume:9)|michaela-hilburn(topic_volume:7)|amanda-gaines(topic_volume:5)|liz-webb(topic_volume:4)|meredith-price(topic_volume:2),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,0.28,every_clinician_mid|alias_match|theme_life-transitions-and-change,no,approve,,
Communicating Better With Your Teenager,how-do-i-communicate-better-with-my-teenager,https://www.deeper.global/answers/how-do-i-communicate-better-with-my-teenager/,fb610607-24ae-4c09-bc58-2693249de97d,lauren-sanders,Lauren Sanders,"NCC, LPC",Licensed Professional Counselor,"Anxiety|Obsessive-Compulsive (OCD)|Parenting|ADHD|Behavioral Issues|Body Dysmorphic Disorder|Cancer|Child|Chronic Illness|Coping Skills|Grief|Life Transitions|Pregnancy, Prenatal, Postpartum|Women's Issues",Life Transitions,teens-and-identity,Teens & Identity,Teens & Identity,family-and-parenting,exact_topic:teens-and-identity via Parenting (w=0.7)|alias_keyword:Parenting|alt_topic:teens-and-identity via Child (w=0.7)|alias_keyword:Parenting|alias_keyword:adjustment,94,high,14.00,exact_topic_plus_alias,jeannine-jannot(topic_volume:7)|meredith-price(topic_volume:1)|kelsey-donahue(topic_volume:1),score=94; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,0.28,every_clinician_lowest|alias_match|theme_family-and-parenting,no,approve,,
Coping With the Loss of a Pet,how-do-i-cope-with-the-loss-of-a-pet,https://www.deeper.global/answers/how-do-i-cope-with-the-loss-of-a-pet/,ba4a939a-1c23-4c69-9863-c99c53dd8524,lauren-sanders,Lauren Sanders,"NCC, LPC",Licensed Professional Counselor,"Anxiety|Obsessive-Compulsive (OCD)|Parenting|ADHD|Behavioral Issues|Body Dysmorphic Disorder|Cancer|Child|Chronic Illness|Coping Skills|Grief|Life Transitions|Pregnancy, Prenatal, Postpartum|Women's Issues",Grief,grief-and-loss,Grief & Loss,Grief & Loss,life-transitions-and-change,parent_theme:life-transitions-and-change via Cancer|exact_topic:grief-and-loss via Grief (w=1)|preferred_specialty_keyword:Grief,100,high,20.00,exact_topic_plus_alias,samantha-bryant(topic_volume:9)|michaela-hilburn(topic_volume:7)|amanda-gaines(topic_volume:5)|liz-webb(topic_volume:4)|meredith-price(topic_volume:2),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,0.28,every_clinician_highest|alias_match,no,approve,,
Can AI Help With Grief or Trauma Processing?,can-ai-help-me-process-grief-or-trauma-189142-018,https://www.deeper.global/answers/can-ai-help-me-process-grief-or-trauma-189142-018/,097008df-6aad-4e4d-86ad-0f728a1de682,lexi-cooper,Lexi Cooper,LMSW,Licensed Master Social Worker,ADHD|Anxiety|Social Communication Disorders|Depression|Family-of-Origin Issues|Familial Relationship Counseling|Interpersonal Communication Skills|Life Transitions|OCD|Student Athletic Challenges|Trauma|Work/School Balance|Family Therapy,Trauma,trauma-and-safety,Trauma & Safety,Trauma & Grief,trauma-and-safety,exact_topic:trauma-and-safety via Trauma (w=1)|preferred_specialty_keyword:Trauma,100,high,20.00,exact_topic_plus_alias,susan-keenan(topic_volume:5)|lynn-lane(topic_volume:5)|samantha-bryant(topic_volume:5)|michaela-hilburn(topic_volume:4)|laura-hilsen(topic_volume:3),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,3.09,every_clinician_lowest|alias_match|ymyl_trauma|theme_trauma-and-safety,yes,approve,,
